City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,abha,18.2164,42.5053,15.9,82,0,2.57,SA,1680727318
340,bonfim,3.0833,-59.95,32.8,37,98,4.45,BR,1680727319
341,molokovo,58.1661,36.7628,1.9,90,100,3.09,RU,1680727319
342,turiacu,-1.6633,-45.3717,24.38,93,100,2.07,BR,1680727320
343,saarlouis,49.3167,6.75,4.92,66,20,0.99,DE,1680727322
344,mersing,2.4312,103.8405,21.95,100,20,2.57,MY,1680727322
345,port macquarie,-31.4333,152.9167,16.61,82,99,3.15,AU,1680727185
346,mehamn,71.0357,27.8492,1.95,80,0,4.12,NO,1680727323
347,oktyabrskoye,43.0645,44.7417,8.08,87,100,4.0,RU,1680727324
348,plouzane,48.3833,-4.6167,9.18,93,100,4.63,FR,1680727326
349,batagay,67.6333,134.6333,-28.52,100,86,0.42,RU,1680727327
350,aykhal,66.0,111.5,-13.81,94,100,6.89,RU,1680727327
351,rosario do sul,-30.2583,-54.9142,25.53,52,100,3.63,BR,1680727155
352,rundu,-17.9333,19.7667,22.9,47,100,1.66,NA,1680727328
353,hobyo,5.3505,48.5268,28.6,71,68,5.14,SO,1680727329
354,mangrul pir,20.3167,77.35,27.86,28,8,3.03,IN,1680727330
355,griffith,41.5284,-87.4237,13.92,77,100,14.92,US,1680727330
356,turek,52.0155,18.5005,0.34,55,11,2.38,PL,1680727331
357,hingorja,27.2109,68.416,26.75,15,0,1.99,PK,1680727332
358,tirlyanskiy,54.2109,58.5806,3.09,82,1,1.56,RU,1680727332
359,krapina,46.1608,15.8789,4.73,64,100,1.33,HR,1680727334
360,alta floresta,-9.8756,-56.0861,31.9,55,20,1.54,BR,1680727335
361,guerrero negro,27.9769,-114.0611,20.98,23,0,6.61,MX,1680727335
362,buraydah,26.326,43.975,23.25,14,56,4.85,SA,1680727213
